"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-04-30,"Mission Valley East","CA","San Diego","San Diego","San Diego",1261,1945,0.0109147609147609,0.0291005291005291,0.0513513513513514,2909
2014-04-30,"Vineyard","CA","Los Angeles","Los Angeles","Glendale",1262,2125,0.00188590287600189,0.00998098859315589,0.0221260221260221,1280
2014-04-30,"Kensington","NY","Buffalo","Erie","Buffalo",1263,790,0.0340314136125654,0.0533333333333333,0.0661268556005398,2266
2014-04-30,"Mission Bay Park","CA","San Diego","San Diego","San Diego",1264,2578,-0.00616808018504241,-0.00309358081979892,0.0433023067583974,1921
2014-04-30,"Marcy Holmes","MN","Minneapolis-St Paul","Hennepin","Minneapolis",1265,1586,0.00316255534471853,-0.0335161486898233,-0.0263965623081645,868
2014-04-30,"Fernwood","IL","Chicago","Cook","Chicago",1266,1237,0.00243111831442464,0.00569105691056911,0.014766201804758,3225
2014-04-30,"Kingman Park","DC","Washington","District of Columbia","Washington",1267,2213,-0.00135379061371841,-0.00539325842696629,0.00499545867393279,1960
2014-04-30,"Midland Beach","NY","New York","Richmond","New York",1268,2121,0.0291120815138282,0.0541749502982107,-0.0279560036663611,2222
2014-04-30,"Stone Oak","TX","San Antonio","Bexar","San Antonio",1269,1877,-0.00159574468085106,-0.00318640467339352,0.0279299014238773,2177
2014-04-30,"Roscoe Village","IL","Chicago","Cook","Chicago",1270,2234,0.0131519274376417,0.0704360325826545,0.0537735849056604,2133
2014-04-30,"Jomacha-Lomita","CA","San Diego","San Diego","San Diego",1271,1835,0.00218459858001092,0.00437876299945265,-0.0113146551724138,2586
2014-04-30,"Rancho West","CA","Riverside","San Bernardino","San Bernardino",1272,1428,0.00280898876404494,0.0120481927710843,0.00918727915194346,1567
2014-04-30,"Historic Midtown","KS","Wichita","Sedgwick","Wichita",1273,704,0.0158730158730159,0.0217706821480406,-0.0486486486486487,1782
2014-04-30,"Kingsgate","WA","Seattle","King","Kirkland",1274,2040,0.0144206862257583,0.0287443267776097,0.0776545166402536,3797
2014-04-30,"Great Neck Village","NY","New York","Nassau","Great Neck",1275,3735,0.011646803900325,0.0127440347071584,0.0465116279069767,2557
2014-04-30,"Westside","CA","Santa Barbara","Santa Barbara","Santa Barbara",1276,2638,-0.0164056674123788,-0.0207869339272457,0.00687022900763359,1319
2014-04-30,"Ballantyne West","NC","Charlotte","Mecklenburg","Charlotte",1277,1434,0.00631578947368421,0.0163004961020553,0.0614359733530718,4026
2014-04-30,"Rose Park","CA","Los Angeles","Los Angeles","Long Beach",1278,1999,-0.00744786494538232,-0.0172074729596853,0.0320082601961797,716
2014-04-30,"North End","MA","Boston","Suffolk","Boston",1279,2765,0.0032656023222061,0.00691915513474144,-0.0100250626566416,2638
2014-04-30,"Fairlington-Shirlington","VA","Washington","Arlington","Arlington",1280,2205,-0.00720396217919856,-0.0107671601615074,0.0361842105263158,4835
2014-04-30,"North Queen Anne","WA","Seattle","King","Seattle",1281,2496,0.012987012987013,0.0297029702970297,0.0254724732949877,2832
2014-04-30,"Montclaire South","NC","Charlotte","Mecklenburg","Charlotte",1282,904,-0.00330760749724366,-0.00440528634361234,0.0319634703196347,1896
2014-04-30,"Oak Creek","CA","Los Angeles","Orange","Irvine",1283,2739,-0.00327510917030568,0.0239252336448598,0.0579374275782155,2161
2014-04-30,"Park Hill","NY","New York","Richmond","New York",1284,2036,0.033502538071066,0.0940354648038689,-0.0512581547064306,1329
2014-04-30,"Burnside","IL","Chicago","Cook","Chicago",1285,1286,0.00233826968043648,0.0141955835962145,0.0238853503184713,2438
2014-04-30,"Jackson Triangle","CA","San Francisco","Alameda","Hayward",1286,1954,-0.00051150895140665,0.00566134843026248,0.0642701525054466,1398
